Utility Number,Utility Name,State,country,Division_type,Division_id
26253,Louisiana Energy & Power Authority,LA,US,NERC_REGION,SPP
26510,Liberty Utilities (Granite State Electri,NH,US,NERC_REGION,NPCC
26616,North Slope Borough Power & Light,AK,US,NERC_REGION,AK
26751,"National Grid Generation, LLC",NY,US,NERC_REGION,NPCC
26765,Pella Cooperative Elec Assn,IA,US,NERC_REGION,MRO
26894,City of Radium - (KS),KS,US,NERC_REGION,SPP
26916,"Ravalli County Elec Coop, Inc",MT,US,NERC_REGION,WECC
26934,"Red Lake Electric Coop, Inc",MN,US,NERC_REGION,MRO
26939,Red River Valley Coop Pwr Assn,MN,US,NERC_REGION,MRO
27000,WAPA-- Western Area Power Administration,CO,US,NERC_REGION,
27026,City of Round Lake - (MN),MN,US,NERC_REGION,MRO
27058,"High West Energy, Inc",WY,US,NERC_REGION,WECC
27238,"Southwest Electric Coop, Inc",MO,US,NERC_REGION,SERC
27269,City of Stanhope - (IA),IA,US,NERC_REGION,MRO
27316,Town of Stowe- (VT),VT,US,NERC_REGION,NPCC
27369,Taylor Electric Coop Inc - (TX),TX,US,NERC_REGION,TRE
27422,Todd-Wadena Electric Coop,MN,US,NERC_REGION,MRO
27545,City of Vermillion - (KS),KS,US,NERC_REGION,SPP
27599,Carroll-White REMC,IN,US,NERC_REGION,RFC
27703,U S Army Corps of Engineers,MI,US,NERC_REGION,RFC
28541,Clatskanie Peoples Util Dist,OR,US,NERC_REGION,WECC
28604,Kerrville Public Utility Board,TX,US,NERC_REGION,TRE
28802,"Talen Energy Marketing, LLC",TX,US,NERC_REGION,RFC
28978,City of San Marcos - (TX),TX,US,NERC_REGION,TRE
28981,City of San Saba - (TX),TX,US,NERC_REGION,TRE
29295,City of Wells - (MN),MN,US,NERC_REGION,MRO
29296,Western Illinois Elec Coop,IL,US,NERC_REGION,RFC
29297,Pelican Utility,AK,US,NERC_REGION,AK
29304,Southeastern Power Admin,GA,US,NERC_REGION,SERC
29305,City of Madelia - (MN),MN,US,NERC_REGION,MRO
30151,"Tri-State G & T Assn, Inc",CO,US,NERC_REGION,WECC
30517,"Pioneer Electric Coop, Inc - (AL)",AL,US,NERC_REGION,SPP
30856,City of Winnfield - (LA),LA,US,NERC_REGION,SPP
31516,Midvale Irrigation District,WY,US,NERC_REGION,WECC
31833,Okefenoke Rural El Member Corp,GA,US,NERC_REGION,SERC
36189,"Mid-Ohio Energy Coop, Inc",OH,US,NERC_REGION,RFC
38084,Great Lakes Energy Coop,MI,US,NERC_REGION,MRO
39347,"East Texas Electric Coop, Inc",TX,US,NERC_REGION,SERC
40051,Texas-New Mexico Power Co,TX,US,NERC_REGION,TRE
40127,Clarke-Washington E M C,AL,US,NERC_REGION,SERC
40165,"Dixie Escalante R E A, Inc",UT,US,NERC_REGION,WECC
40166,"Chickasaw Electric Coop, Inc",TN,US,NERC_REGION,SERC
40167,"Somerset Rural Elec Coop, Inc",PA,US,NERC_REGION,RFC
40208,"Ark Valley Elec Coop Assn, Inc",KS,US,NERC_REGION,SPP
40212,Colquitt Electric Membership Corp,GA,US,NERC_REGION,SERC
40215,"Cordova Electric Coop, Inc",AK,US,NERC_REGION,AK
40218,"Central Electric Pwr Coop, Inc - (SC)",SC,US,NERC_REGION,SERC
40219,"United Electric Coop, Inc - (PA)",PA,US,NERC_REGION,RFC
40220,Adams Electric Cooperative Inc,PA,US,NERC_REGION,RFC
40221,"Bedford Rural Elec Coop, Inc",PA,US,NERC_REGION,RFC
40222,Valley Rural Electric Coop Inc,PA,US,NERC_REGION,RFC
40223,Warren Electric Coop Inc,PA,US,NERC_REGION,RFC
40224,"Central Electric Coop, Inc - (PA)",PA,US,NERC_REGION,RFC
40229,Old Dominion Electric Coop,VA,US,NERC_REGION,SERC
40230,Deseret Generation & Tran Coop,UT,US,NERC_REGION,WECC
40289,Claverack Rural Elec Coop Inc,PA,US,NERC_REGION,RFC
40290,Tri-County Rural Elec Coop Inc (PA),PA,US,NERC_REGION,RFC
40291,"Sullivan County R E C, Inc - (PA)",PA,US,NERC_REGION,RFC
40292,REA Energy Coop Inc,PA,US,NERC_REGION,RFC
